Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
HJG Two Way Alarm Motorcycle Security Remote Control Engine Start Vibration Alarm Lock System,"Weight
0.45 kg",-,DUGDUG-1181,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/HJG-Two-Way-Alarm-Motorcycle-Scooter-Security-2-Way-Alarm-Remote-Control-Engine-Start-Vibration-Alarm-Lock-System-main-2-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/HJG-Two-Way-Alarm-Motorcycle-Scooter-Security-2-Way-Alarm-Remote-Control-Engine-Start-Vibration-Alarm-Lock-System-main-0-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/HJG-Two-Way-Alarm-Motorcycle-Scooter-Security-2-Way-Alarm-Remote-Control-Engine-Start-Vibration-Alarm-Lock-System-main-3-510x550.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2021/10/HJG-Two-Way-Alarm-Motorcycle-Scooter-Security-2-Way-Alarm-Remote-Control-Engine-Start-Vibration-Alarm-Lock-System-main-1-510x510.jpg']",$61.97,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
Motorcycle Disk Lock for Security Protection,"Weight
0.25 kg",-,DUGDUG-1146,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2021/08/bike-disk-lock-dug-dug-motorcycles.jpg'],₹299.00,-,-,-,-,-,-,-,₹199.00,-,-,-,-,-,-,-,-,-,-,-
Wheel Lock for Royal Enfield All Models,"Weight
2.0 kg",-,DUGDUG-378,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1145842300-scaled-510x340.jpg'],₹399.00,-,-,-,-,-,-,-,₹399.00,-,-,-,-,-,-,-,-,-,-,-
Blackcat Anti-Theft Alarm System for All Bikes,"Remote arming/ Disarming (range up to 300 ft.)
Bike Finder with loud siren
Sensitivity adjustable by remote
Water resistant remote and module
Having 1 year warranty





Weight
0.8 kg",-,DUGDUG-379,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144850606-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144850598-scaled-510x510.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1144854004-510x510.jpg']","₹1,149.00",-,-,-,-,-,-,-,"₹1,149.00",-,-,-,-,-,-,-,-,-,-,-
Anti-Theft Alarm System for All Bikes,"Vehicle Compatibility: All Bikes and Scooters (Geared/Non-Geared) of any model
Features motion sensors that detect when your bike is being manhandled while locked
125 Decibels of Sound output that is audible at long distances
Keys come with a number of dedicated buttons for a number of functionalities like locating your bike, ignition on and off, locking and unlocking, etc.
The unit can receive signals from the keys even at distances as much as 100 metres
Every set is configured on a unique frequency that is shared only by the keys and the main unit so no duplicity of keys is possible
The product is made of premium quality plastic and is waterproof to ensure durability




The wiring of the system is very easy and can even be carried out at home with a slight knowledge of electrical circuits
Buy Genuine products from www.dugdugmotorcycles.com only. Customer Care Number: +91-8929797589







Weight
0.8 kg",-,DUGDUG-380,-,-,-,-,-,-,-,-,"['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1143553573-510x597.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1143555035-510x597.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1143550790-510x597.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1143553580-510x597.jpg', 'https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1143555026-510x597.jpg']",₹850.00,-,-,-,-,-,-,-,₹850.00,-,-,-,-,-,-,-,-,-,-,-
Alarm Disk Lock for all Bikes,"Weight
0.85 kg",-,DUGDUG-377,-,-,-,-,-,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2019/10/1108513598-510x510.jpg'],$23.22,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
